,comment,upvote,time
0,,226K,1 year ago
1,Пишем комментарии пожелания не стесняемся ребят благодарим за трек и клип,9,21 hours ago
2,"ずっと探してたから見つけて感動
曲名知らなかったから調べまくりました",7,8 days ago
3,"They both seem blood brothers, their voice and physical resemblance are incredible",10,19 hours ago
4,Essa música é tudo!!! ,420,1 year ago
5,ESSA MÚSICA É SIMPLESMENTE LENDÁRIA,136,3 weeks ago
6,Ставим лайки ребята не жалея благодарим за трек и клип,1,11 hours ago
7,Nobody gonna talk about how their voices fit PERFECTLY together?!,556,2 weeks ago
8,I hear this every day and it would be never boring,353,1 year ago
9,Honestly a great song. Their voices work perfectly together and the setup is incredible.,253,1 month ago
10,amo de mais essa música ,42,8 days ago
11,This was the song me and my niece heard during the time my mom was in ICU during covid almost 1 year ago today.. she's home and doing well️,237,3 weeks ago
12,"could never get tired of this song, makes you really wanna get up dance all day",59,2 weeks ago
13,Still cant get over how good this song is ,537,1 year ago
14,o problema dessa música é que ela acaba rápido 🇧🇷️️️️️,37,9 days ago
15,"QUE JOYA, NUNCA ME CANSARE DE ESCUCHARLA",92,3 weeks ago
16,Super ,2,2 weeks ago
17,There's something about a music video that is just the artists dancing & having a good time that brings me a lot of joy ,21,2 days ago
18,Muito bom,14,5 days ago
19,Que música maravilhosa,193,1 year ago
20,"La mejor canción  de 2021!
Me hace recordar los buenos momentos de ese año ",13,1 day ago
21,the fact that this song has always been in Spotify's global top 50 for over 1 year,62,12 days ago
22,This song and “Clover Cage - Lost Then Found” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,8,1 day ago
23,Os cara é tão brabo que nem da pra diferenciar a voz um do outro,60,3 weeks ago
24,"This song and ""Lukaz - Did You Call Me” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together. I love you ",1,20 hours ago
25,"Vaya tendencia, de lo mejor que eh escuchado  la ROMPEN ",310,1 year ago
26,This song never gets old,117,3 weeks ago
27,"Moleque musica top〜(꒪꒳꒪)〜
(~‾▿‾)~",1,3 weeks ago
28,"My big brother just moved out a week ago, he taught me a lot of things in life. He had this song on his spotify playlist. I listen to it and it almost feels like he is here.",1,1 day ago
29,"A msc é perfeita, porém, não consigo diferenciar a voz deles kkk. Amo vcs juntos ",40,2 weeks ago
30,This is exactly how I feel right now after all the losses in my life. RIP.,5,5 days ago
31,Simplesmente viciada nessa música ,161,1 year ago
32,I always say every genre has its own diamonds. I as a metalhead weirdly can appreciate him way more than many of the other artists in this genre,71,2 weeks ago
33,this vibe will never end. Still the same feelings like one year ago when i listened to this song,93,1 month ago
34,"Definitely, the biggest banger of the pandemic era. Hope to seeing more people partying to this song in the clubs.",41,10 days ago
35,最近またハマってよく聞いてます！♡Σ(ﾟ∀ﾟﾉ)ﾉｷｬｰ,2,3 weeks ago
36,Future generation should keep this song alive️,3,3 days ago
37,"Happy that he going into pop, if he keeps doing stuff like this he’s gonna be great",218,1 year ago (edited)
38,This song gives such a positive vibe and the voices and energy of laroi and justin bieber blends perfectly . stay~~,49,3 weeks ago
39,the longing expressed in the lyrics with the upbeat tempo makes the song all that more powerful. I recently listened to a new song called Same Scent and I'm crying after hearing them back to back,44,3 weeks ago
40,This sounds like a classic to me. From the eighties or something. Sure beats a rap song any day of the week.,,5 days ago
41,Отличная песня,1,11 hours ago
42,I swear Charlie is a genius when it comes to making music. That beat is stuck to my head the whole day.,374,1 year ago
43,"I actually love this song so much. 
The lyrics make so much sense to me.",41,1 month ago
44,Algum brasileiro vendo essa obra de arte?,,3 weeks ago
45,"Nice, dass es schon eine Engische version gibt",7,9 days ago
46,increíble que gran trabajo hicieron ,43,2 weeks ago
47,Amei essa musica,,1 day ago
48,Their voices blend so well together creating such a beautiful harmony.,151,11 months ago
49,I’ve probably listened to this song a million times now any every time it’s me the same nostalgic vibes it did when I first listened to it.,18,1 month ago
50,Its been a year and this is still a masterpiece,,1 day ago
51,These lyrics hit my soul!!!,,2 days ago
52,Que msc perfeita. ,9,3 weeks ago
53,Like ,3,9 days ago
54,OBSESSED with this song!!! This kid is definitely talented and going far!!! ,140,1 year ago
55,"I'm 55 and listen to this song every day... My son was murdered in January and music is all I have to keep me sane, he loved music too it keeps us connected in a way ️",57,4 weeks ago
56,학교 콘서트에서 이 노래 부른 내가 레전드다,1,23 hours ago
57,This masterpiece still gives me Goosebumps ,17,8 days ago
58,"Gotta Admit
This Song Is 
No One Would Forget This Song
Its Too Popular
Read more",47,1 month ago
59,Классно получилось,1,10 hours ago
60,Justin and Laroi harmonizing SENDS ME TO ANOTHER PLANET,140,1 year ago
61,Siempre hay una música para cualquier etapa de la vida es lo mejor,26,3 weeks ago
62,なんて素敵な曲なんだ！！,1,13 days ago
63,"It slaps. I can't fight it, it slaps. Their voices just wave together.",12,10 days ago
64,I absolutely can’t get enough of this song and it’s been a whole year. I feel like this song just came out yesterday the way I play it  I wish it was longer !! Extended version please with Shawn Mendes or Charlie Puth !!,18,9 days ago
65,"their voices are so perfect 


Great song, I love this song️",12,9 days ago
66,"I love Laroi's dancing and skipping. So much energy, it charges me up.",133,10 months ago
67,Not going to lie this song is a banger first time hearing this and it is awesome,1,3 weeks ago (edited)
68,Vibe in the clip is something surreal! It is so good whenever you feel good or awful... ahhh amazing song,15,2 weeks ago
69,Al fin música buena de esta generación,13,8 days ago
70,Me encanta esta cancion,1,4 days ago
71,Whoever made the music for this song -Ya need to make more of this ,,3 days ago
72,I want this song to STAY on the billboard chart.,388,1 year ago
73,<3 beautiful song kid LAROI I've always played this song LOADS of times the beat is just too good,16,3 weeks ago
74,TEMAZO,63,2 weeks ago
75,Keyboard intro has a huge 80s retrowave potential and is the best part of the song. But turned into modern pop bumble gum :),1,2 days ago
76,1year and it's still fire,2,1 day ago (edited)
77,Essa música passa uma vibe muito loka,203,11 months ago
78,This song and “Clover Cage - Falling For Free” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you..️,43,4 weeks ago
79,"amo esta canción, me encanta :D",13,3 weeks ago
80,Ставим лайки ребята не жалея благодарим за трек и клип,1,10 hours ago
81,it's been a year and this song is still,,1 day ago
82,Why can I listen to this song back to back and it's still as good as the first time!,25,2 weeks ago
83,1 year ago and it's still my favourite song ,5,9 days ago
84,The only bad thing about this song is that it's too short ,389,1 year ago
85,Muito brabo,,1 month ago
86,This track is a masterpiece ,20,3 weeks ago
87,My favourite song️,2,11 days ago
88,If you 2 do an album together. The world would be a better place!!! I think I listened to this over 200 times in the past few weeks!!,1,2 weeks ago
89,If i had any choice of music this song is number #1. GREAT SONG,1,2 weeks ago
90,The only bad thing about this song is that it ends,797,1 year ago
91,Música top ,16,2 weeks ago
92,"Justin have grown up so fast
His every songs are masterpiece ",,2 weeks ago
93,This song hit hard than my father's Belt,1,2 weeks ago
94,These two should make more songs together,,12 days ago
95,"1:44 That one ""staaAAAAYYY"" at the end of justins verse is so satisfying to listen to",295,1 year ago
96,"Ay yo, why is this such an absolute banger?! 2:37 of pure bops. If you don't love this, then who even are you.",1,4 weeks ago
97,You never get fed up with this song,13,3 weeks ago
98,This vibe. The harmonies.  A year later and it still hits the same.  On repeat ya'll.  What a banger.  When Biebs comes in with his part. Kills it.  Bravo gents,3,2 weeks ago
99,It's crazy many people come back to this everyday. This song is legendary. it's so Addictive.️,65,4 weeks ago
100,Love it,1,2 days ago
101,this song is so addictive i could listen to this over and over and over,299,1 year ago (edited)
102,Foda D+,,2 weeks ago
